no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_3h_download_cor1	pre_b_3h_download_cor1	preevento_a_3h	preevento_b_3h	pre_a_2h_download_cor1	pre_b_2h_download_cor1
11	2007-02-12	11:02:40	2007-02-12	*	90	*	260.279	259.540	0.654	-0.085	0.666	0.121	0.770	2007-02-12 11:02:40		2007-02-12 10:02:40	NaT	2007-02-12 09:02:40	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070212/', '20070212_075300_s4c1A.fts', '20070212_075309_s4c1A.fts', '20070212_075318_s4c1A.fts']	*	2007/02/12 08:02:40		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070212/', '20070212_085300_s4c1A.fts', '20070212_085309_s4c1A.fts', '20070212_085318_s4c1A.fts']	*
12	2007-02-17	15:02:40	2007-02-17	15:02:54	90/135	90	192.357	191.495	0.764	-0.098	0.772	0.114	*	2007-02-17 15:02:40	2007-02-17 15:02:54	2007-02-17 14:02:40	2007-02-17 14:02:54	2007-02-17 13:02:40	2007-02-17 13:02:54	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070217/', '20070217_115300_s4c1A.fts', '20070217_115309_s4c1A.fts', '20070217_115318_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070217/', '20070217_115300_s4c1B.fts', '20070217_115309_s4c1B.fts', '20070217_115318_s4c1B.fts']	2007/02/17 12:02:40	2007/02/17 12:02:54	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070217/', '20070217_125300_s4c1A.fts', '20070217_125309_s4c1A.fts', '20070217_125318_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070217/', '20070217_125300_s4c1B.fts', '20070217_125309_s4c1B.fts', '20070217_125318_s4c1B.fts']
13	2007-02-19	16:02:40	2007-02-19	17:02:55	90	90	165.519	164.601	0.812	-0.107	0.817	*	*	2007-02-19 16:02:40	2007-02-19 17:02:55	2007-02-19 15:02:40	2007-02-19 16:02:55	2007-02-19 14:02:40	2007-02-19 15:02:55	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070219/', '20070219_125300_s4c1A.fts', '20070219_125309_s4c1A.fts', '20070219_125318_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070219/', '20070219_135300_s4c1B.fts', '20070219_135309_s4c1B.fts', '20070219_135318_s4c1B.fts']	2007/02/19 13:02:40	2007/02/19 14:02:55	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070219/', '20070219_135300_s4c1A.fts', '20070219_135309_s4c1A.fts', '20070219_135318_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070219/', '20070219_145300_s4c1B.fts', '20070219_145309_s4c1B.fts', '20070219_145318_s4c1B.fts']
14	2007-02-20	20:02:40	2007-02-20	20:02:55	270	270	150.184	149.231	0.840	-0.113	0.844	*	*	2007-02-20 20:02:40	2007-02-20 20:02:55	2007-02-20 19:02:40	2007-02-20 19:02:55	2007-02-20 18:02:40	2007-02-20 18:02:55	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070220/', '20070220_171000_s4c1A.fts', '20070220_171009_s4c1A.fts', '20070220_171018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070220/', '20070220_165300_s4c1B.fts', '20070220_165309_s4c1B.fts', '20070220_165318_s4c1B.fts']	2007/02/20 17:02:40	2007/02/20 17:02:55	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070220/', '20070220_171000_s4c1A.fts', '20070220_171009_s4c1A.fts', '20070220_171018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070220/', '20070220_175300_s4c1B.fts', '20070220_175309_s4c1B.fts', '20070220_175318_s4c1B.fts']
15	2007-02-24	14:02:40	2007-02-24	15:02:56	90	90	100.894	99.821	0.937	-0.136	0.938	*	*	2007-02-24 14:02:40	2007-02-24 15:02:56	2007-02-24 13:02:40	2007-02-24 14:02:56	2007-02-24 12:02:40	2007-02-24 13:02:56	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070224/', '20070224_105300_s4c1A.fts', '20070224_105309_s4c1A.fts', '20070224_105318_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070224/', '20070224_115300_s4c1B.fts', '20070224_115309_s4c1B.fts', '20070224_115318_s4c1B.fts']	2007/02/24 11:02:40	2007/02/24 12:02:56	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070224/', '20070224_115300_s4c1A.fts', '20070224_115309_s4c1A.fts', '20070224_115318_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070224/', '20070224_125300_s4c1B.fts', '20070224_125309_s4c1B.fts', '20070224_125318_s4c1B.fts']
16	2007-03-05	02:27:00	2007-03-05	*	315	*	348.954	347.550	1.194	-0.210	1.188	0.210	*	2007-03-05 02:27:00		2007-03-05 01:27:00	NaT	2007-03-05 00:27:00	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070304/', '20070304_233020_s4c1A.fts', '20070304_233029_s4c1A.fts', '20070304_233038_s4c1A.fts']	*	2007/03/04 23:27:00		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070305/', '20070305_003020_s4c1A.fts', '20070305_003029_s4c1A.fts', '20070305_003038_s4c1A.fts']	*
17	2007-03-05	15:57:00	2007-03-05	*	45	*	341.562	340.133	1.212	-0.217	1.206	0.217	*	2007-03-05 15:57:00		2007-03-05 14:57:00	NaT	2007-03-05 13:57:00	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070305/', '20070305_130020_s4c1A.fts', '20070305_130029_s4c1A.fts', '20070305_130038_s4c1A.fts']	*	2007/03/05 12:57:00		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070305/', '20070305_140020_s4c1A.fts', '20070305_140029_s4c1A.fts', '20070305_140038_s4c1A.fts']	*
18	2007-03-07	07:27:00	2007-03-07	*	270	*	319.933	318.429	1.268	-0.236	1.261	0.237	*	2007-03-07 07:27:00		2007-03-07 06:27:00	NaT	2007-03-07 05:27:00	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070307/', '20070307_043020_s4c1A.fts', '20070307_043029_s4c1A.fts', '20070307_043038_s4c1A.fts']	*	2007/03/07 04:27:00		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070307/', '20070307_053020_s4c1A.fts', '20070307_053029_s4c1A.fts', '20070307_053038_s4c1A.fts']	*
19	2007-03-09	19:02:40	2007-03-09	*	270	*	287.308	285.685	1.355	-0.268	1.346	0.271	*	2007-03-09 19:02:40		2007-03-09 18:02:40	NaT	2007-03-09 17:02:40	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070309/', '20070309_155300_s4c1A.fts', '20070309_155309_s4c1A.fts', '20070309_155318_s4c1A.fts']	*	2007/03/09 16:02:40		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070309/', '20070309_165300_s4c1A.fts', '20070309_165309_s4c1A.fts', '20070309_165318_s4c1A.fts']	*
20	2007-03-12	00:02:40	2007-03-12	00:03:01	90	90	258.289	256.554	1.436	-0.299	1.426	*	*	2007-03-12 00:02:40	2007-03-12 00:03:01	2007-03-11 23:02:40	2007-03-11 23:03:01	2007-03-11 22:02:40	2007-03-11 22:03:01	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070311/', '20070311_205300_s4c1A.fts', '20070311_205309_s4c1A.fts', '20070311_205318_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070311/', '20070311_205300_s4c1B.fts', '20070311_205309_s4c1B.fts', '20070311_205318_s4c1B.fts']	2007/03/11 21:02:40	2007/03/11 21:03:01	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070311/', '20070311_215300_s4c1A.fts', '20070311_215309_s4c1A.fts', '20070311_215318_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070311/', '20070311_215300_s4c1B.fts', '20070311_215309_s4c1B.fts', '20070311_215318_s4c1B.fts']
21	2007-03-15	18:02:40	2007-03-15	14:03:03	270	270	211.192	209.262	1.573	-0.357	1.562	*	*	2007-03-15 18:02:40	2007-03-15 14:03:03	2007-03-15 17:02:40	2007-03-15 13:03:03	2007-03-15 16:02:40	2007-03-15 12:03:03		No data	2007/03/15 15:02:40	2007/03/15 11:03:03	No data	No data
22	2007-03-20	14:57:00	2007-03-20	*	225	*	144.998	142.765	1.781	-0.452	1.767	0.464	*	2007-03-20 14:57:00		2007-03-20 13:57:00	NaT	2007-03-20 12:57:00	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070320/', '20070320_120020_s4c1A.fts', '20070320_120029_s4c1A.fts', '20070320_120038_s4c1A.fts']	*	2007/03/20 11:57:00		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070320/', '20070320_130020_s4c1A.fts', '20070320_130029_s4c1A.fts', '20070320_130038_s4c1A.fts']	*
23	2007-03-21	05:57:00	2007-03-21	04:57:25	90	90	137.333	135.063	1.806	-0.464	1.792	*	*	2007-03-21 05:57:00	2007-03-21 04:57:25	2007-03-21 04:57:00	2007-03-21 03:57:25	2007-03-21 03:57:00	2007-03-21 02:57:25	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070321/', '20070321_030020_s4c1A.fts', '20070321_030029_s4c1A.fts', '20070321_030038_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070321/', '20070321_020020_s4c1B.fts', '20070321_020029_s4c1B.fts', '20070321_020038_s4c1B.fts']	2007/03/21 02:57:00	2007/03/21 01:57:25	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070321/', '20070321_040020_s4c1A.fts', '20070321_040029_s4c1A.fts', '20070321_040038_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070321/', '20070321_030020_s4c1B.fts', '20070321_030029_s4c1B.fts', '20070321_030038_s4c1B.fts']
24	2007-03-27	14:27:00	2007-03-27	15:27:27	225	225	137.333	135.063	1.806	-0.464	1.792	0.477	*	2007-03-27 14:27:00	2007-03-27 15:27:27	2007-03-27 13:27:00	2007-03-27 14:27:27	2007-03-27 12:27:00	2007-03-27 13:27:27	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070327/', '20070327_113020_s4c1A.fts', '20070327_113029_s4c1A.fts', '20070327_113038_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070327/', '20070327_123020_s4c1B.fts', '20070327_123029_s4c1B.fts', '20070327_123038_s4c1B.fts']	2007/03/27 11:27:00	2007/03/27 12:27:27	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070327/', '20070327_123020_s4c1A.fts', '20070327_123029_s4c1A.fts', '20070327_123038_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070327/', '20070327_133020_s4c1B.fts', '20070327_133029_s4c1B.fts', '20070327_133038_s4c1B.fts']
25	2007-03-31	09:52:30	2007-03-31	09:52:58	270	270	3.238	0.245	2.290	-0.703	2.277	0.724	2.985	2007-03-31 09:52:30	2007-03-31 09:52:58	2007-03-31 08:52:30	2007-03-31 08:52:58	2007-03-31 07:52:30	2007-03-31 07:52:58	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070331/', '20070331_065000_s4c1A.fts', '20070331_065009_s4c1A.fts', '20070331_065018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070331/', '20070331_065000_s4c1B.fts', '20070331_065009_s4c1B.fts', '20070331_065018_s4c1B.fts']	2007/03/31 06:52:30	2007/03/31 06:52:58	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070331/', '20070331_075000_s4c1A.fts', '20070331_075009_s4c1A.fts', '20070331_075018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070331/', '20070331_075000_s4c1B.fts', '20070331_075009_s4c1B.fts', '20070331_075018_s4c1B.fts']
26	2007-04-03	03:52:30	2007-04-03	05:23:00	225	225	327.102	323.890	2.435	-0.777	2.422	0.801	3.207	2007-04-03 03:52:30	2007-04-03 05:23:00	2007-04-03 02:52:30	2007-04-03 04:23:00	2007-04-03 01:52:30	2007-04-03 03:23:00	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070403/', '20070403_005000_s4c1A.fts', '20070403_005009_s4c1A.fts', '20070403_005018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070403/', '20070403_022000_s4c1B.fts', '20070403_022009_s4c1B.fts', '20070403_022018_s4c1B.fts']	2007/04/03 00:52:30	2007/04/03 02:23:00	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070403/', '20070403_015000_s4c1A.fts', '20070403_015009_s4c1A.fts', '20070403_015018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070403/', '20070403_032000_s4c1B.fts', '20070403_032009_s4c1B.fts', '20070403_032018_s4c1B.fts']
27	2007-04-10	03:52:30	2007-04-10	05:23:02	270	270	235.117	231.298	2.827	-0.991	2.818	*	*	2007-04-10 03:52:30	2007-04-10 05:23:02	2007-04-10 02:52:30	2007-04-10 04:23:02	2007-04-10 01:52:30	2007-04-10 03:23:02	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070410/', '20070410_005000_s4c1A.fts', '20070410_005009_s4c1A.fts', '20070410_005018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070410/', '20070410_022000_s4c1B.fts', '20070410_022009_s4c1B.fts', '20070410_022018_s4c1B.fts']	2007/04/10 00:52:30	2007/04/10 02:23:02	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070410/', '20070410_015000_s4c1A.fts', '20070410_015009_s4c1A.fts', '20070410_015018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070410/', '20070410_032000_s4c1B.fts', '20070410_032009_s4c1B.fts', '20070410_032018_s4c1B.fts']
28	2007-04-14	17:22:30	2007-04-14	17:23:04	270	270	175.160	170.909	3.100	-1.151	3.095	1.184	*	2007-04-14 17:22:30	2007-04-14 17:23:04	2007-04-14 16:22:30	2007-04-14 16:23:04	2007-04-14 15:22:30	2007-04-14 15:23:04	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070414/', '20070414_142000_s4c1A.fts', '20070414_142009_s4c1A.fts', '20070414_142018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070414/', '20070414_142000_s4c1B.fts', '20070414_142009_s4c1B.fts', '20070414_142018_s4c1B.fts']	2007/04/14 14:22:30	2007/04/14 14:23:04	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070414/', '20070414_152000_s4c1A.fts', '20070414_152009_s4c1A.fts', '20070414_152018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070414/', '20070414_152000_s4c1B.fts', '20070414_152009_s4c1B.fts', '20070414_152018_s4c1B.fts']
29	2007-04-17	12:22:30	2007-04-17	12:23:05	135	135	138.473	133.943	3.274	-1.256	3.271	1.292	4.549	2007-04-17 12:22:30	2007-04-17 12:23:05	2007-04-17 11:22:30	2007-04-17 11:23:05	2007-04-17 10:22:30	2007-04-17 10:23:05	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070417/', '20070417_092000_s4c1A.fts', '20070417_092009_s4c1A.fts', '20070417_092018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070417/', '20070417_092000_s4c1B.fts', '20070417_092009_s4c1B.fts', '20070417_092018_s4c1B.fts']	2007/04/17 09:22:30	2007/04/17 09:23:05	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070417/', '20070417_102000_s4c1A.fts', '20070417_102009_s4c1A.fts', '20070417_102018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070417/', '20070417_102000_s4c1B.fts', '20070417_102009_s4c1B.fts', '20070417_102018_s4c1B.fts']
30	2007-04-18	22:52:30	2007-04-18	*	90	*	119.582	114.903	3.366	-1.313	3.365	1.350	*	2007-04-18 22:52:30		2007-04-18 21:52:30	NaT	2007-04-18 20:52:30	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070418/', '20070418_195000_s4c1A.fts', '20070418_195009_s4c1A.fts', '20070418_195018_s4c1A.fts']	*	2007/04/18 19:52:30		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070418/', '20070418_205000_s4c1A.fts', '20070418_205009_s4c1A.fts', '20070418_205018_s4c1A.fts']	*
31	2007-05-01	11:22:30	2007-05-01	*	90	*	315.030	308.935	4.232	-1.862	4.249	1.911	*	2007-05-01 11:22:30		2007-05-01 10:22:30	NaT	2007-05-01 09:22:30	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070501/', '20070501_082000_s4c1A.fts', '20070501_082009_s4c1A.fts', '20070501_082018_s4c1A.fts']	*	2007/05/01 08:22:30		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070501/', '20070501_092000_s4c1A.fts', '20070501_092009_s4c1A.fts', '20070501_092018_s4c1A.fts']	*
32	2007-05-06	01:52:30	2007-05-06	02:23:13	90	90	254.518	247.847	4.580	-2.092	4.604	2.145	6.738	2007-05-06 01:52:30	2007-05-06 02:23:13	2007-05-06 00:52:30	2007-05-06 01:23:13	2007-05-05 23:52:30	2007-05-06 00:23:13	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070505/', '20070505_225000_s4c1A.fts', '20070505_225009_s4c1A.fts', '20070505_225018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070505/', '20070505_232000_s4c1B.fts', '20070505_232009_s4c1B.fts', '20070505_232018_s4c1B.fts']	2007/05/05 22:52:30	2007/05/05 23:23:13	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070505/', '20070505_235000_s4c1A.fts', '20070505_235009_s4c1A.fts', '20070505_235018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070506/', '20070506_002000_s4c1B.fts', '20070506_002009_s4c1B.fts', '20070506_002018_s4c1B.fts']
33	2007-05-07	16:22:30	2007-05-07	17:53:14	90	90	233.435	226.555	4.704	-2.175	4.731	*	*	2007-05-07 16:22:30	2007-05-07 17:53:14	2007-05-07 15:22:30	2007-05-07 16:53:14	2007-05-07 14:22:30	2007-05-07 15:53:14	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070507/', '20070507_132000_s4c1A.fts', '20070507_132009_s4c1A.fts', '20070507_132018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070507/', '20070507_145000_s4c1B.fts', '20070507_145009_s4c1B.fts', '20070507_145018_s4c1B.fts']	2007/05/07 13:22:30	2007/05/07 14:53:14	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070507/', '20070507_142000_s4c1A.fts', '20070507_142009_s4c1A.fts', '20070507_142018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070507/', '20070507_155000_s4c1B.fts', '20070507_155009_s4c1B.fts', '20070507_155018_s4c1B.fts']
